episode,method,label,task_completion_rate,task_completion_time_ratio,energy_consumption_index
29600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.789197,0.613499,0.804906
29700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.786074,0.615307,0.805434
29800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.787653,0.614382,0.803874
29900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.788913,0.613473,0.802484
30000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.784558,0.615513,0.803670
30100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.788608,0.612795,0.801128
30200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.788848,0.612028,0.800349
30300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.785494,0.613124,0.801265
30400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.785793,0.612078,0.800594
30500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.784070,0.612081,0.800945
30600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.777899,0.614389,0.803341
30700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.790140,0.606523,0.797564
30800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.782554,0.609479,0.800785
30900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.784098,0.607365,0.799993
31000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.780568,0.608018,0.801586
31100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.771356,0.611778,0.805834
31200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.777255,0.607224,0.803377
31300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.781460,0.603632,0.801792
31400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.772167,0.607462,0.806349
31500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.772703,0.605976,0.806612
31600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.770354,0.606119,0.808247
31700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.772404,0.603934,0.808002
31800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.762400,0.608421,0.813224
31900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.766901,0.605090,0.812045
32000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.769130,0.603089,0.811932
32100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.769169,0.602446,0.812895
32200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.769461,0.601766,0.813781
32300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.765056,0.603836,0.816854
32400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.769189,0.601334,0.816115
32500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.758026,0.607396,0.822298
32600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.761495,0.605551,0.821920
32700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.759934,0.606629,0.823832
32800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.756917,0.608663,0.826419
32900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.763362,0.605617,0.824735
33000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.755443,0.610618,0.829518
33100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.747814,0.615567,0.834138
33200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.752094,0.614107,0.833393
33300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.758737,0.611443,0.831542
33400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.747273,0.618827,0.837791
33500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.749732,0.618646,0.837734
33600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.753067,0.618035,0.837211
33700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.752025,0.619908,0.838613
33800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.750837,0.621882,0.839996
33900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.752957,0.622068,0.839821
34000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.750992,0.624463,0.841367
34100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.750426,0.626115,0.842226
34200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.750360,0.627461,0.842767
34300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.748187,0.630092,0.844300
34400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.750142,0.630065,0.843610
34500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.754132,0.628996,0.842028
34600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.756783,0.628593,0.840964
34700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.750740,0.632875,0.843715
34800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.753272,0.632309,0.842491
34900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.757881,0.630495,0.840248
35000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.758256,0.630854,0.839796
35100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.763128,0.628658,0.837273
35200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.760202,0.630525,0.838103
35300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.761760,0.629836,0.836877
35400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.762362,0.629503,0.835986
35500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.762908,0.629058,0.835052
35600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.767169,0.626446,0.832398
35700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.764472,0.627488,0.832792
35800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.771764,0.622922,0.828657
35900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.768052,0.624245,0.829404
36000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.777151,0.618433,0.824377
36100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.775262,0.618540,0.824257
36200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.778042,0.615985,0.822022
36300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.779344,0.614157,0.820443
36400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.782951,0.610990,0.817829
36500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.785110,0.608569,0.815881
36600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.786661,0.606415,0.814205
36700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.783239,0.607005,0.814821
36800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.787863,0.603159,0.811852
36900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.795378,0.597686,0.807589
37000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.792169,0.598183,0.808243
37100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.792390,0.596788,0.807377
37200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.797527,0.592768,0.804384
37300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.799365,0.590642,0.802955
37400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.798397,0.590160,0.802881
37500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.798247,0.589289,0.802494
37600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.804468,0.585008,0.799315
37700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.808955,0.581828,0.797031
37800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.807813,0.581873,0.797375
37900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.805800,0.582553,0.798224
38000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.812587,0.578505,0.795187
38100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.809053,0.580265,0.796882
38200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.811596,0.578853,0.795958
38300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.812889,0.578270,0.795689
38400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.810438,0.579895,0.797203
38500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.816061,0.577221,0.795173
38600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.813207,0.579349,0.797048
38700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.813241,0.580033,0.797720
38800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.807574,0.583955,0.801020
38900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.814717,0.580951,0.798634
39000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.813320,0.582744,0.800158
39100,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.811940,0.584617,0.801736
39200,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.811515,0.586049,0.802944
39300,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.807906,0.589280,0.805621
39400,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.809629,0.589633,0.805944
39500,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.813319,0.588927,0.805405
39600,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.809771,0.592239,0.808163
39700,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.805079,0.596141,0.811418
39800,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.811661,0.593845,0.809622
39900,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.810381,0.595859,0.811373
40000,paper1_deep_hgrl_ugv_assisted,HGRL-UGV,0.803251,0.600995,0.815707
1,paper2_deep_cfr_marl,CFR-MARL,0.206977,0.888741,0.842776
100,paper2_deep_cfr_marl,CFR-MARL,0.200332,0.887137,0.840179
200,paper2_deep_cfr_marl,CFR-MARL,0.206959,0.888967,0.840296
300,paper2_deep_cfr_marl,CFR-MARL,0.215351,0.886807,0.837079
400,paper2_deep_cfr_marl,CFR-MARL,0.222533,0.885459,0.834472
500,paper2_deep_cfr_marl,CFR-MARL,0.221411,0.888444,0.835371
600,paper2_deep_cfr_marl,CFR-MARL,0.227740,0.887668,0.833168
700,paper2_deep_cfr_marl,CFR-MARL,0.235089,0.885619,0.829916
800,paper2_deep_cfr_marl,CFR-MARL,0.233785,0.888024,0.830315
900,paper2_deep_cfr_marl,CFR-MARL,0.238323,0.887386,0.828245
1000,paper2_deep_cfr_marl,CFR-MARL,0.236428,0.890182,0.829020
1100,paper2_deep_cfr_marl,CFR-MARL,0.246915,0.885977,0.824116
1200,paper2_deep_cfr_marl,CFR-MARL,0.249859,0.885734,0.822515
1300,paper2_deep_cfr_marl,CFR-MARL,0.252270,0.885610,0.821084
1400,paper2_deep_cfr_marl,CFR-MARL,0.257242,0.883932,0.818466
1500,paper2_deep_cfr_marl,CFR-MARL,0.256193,0.885351,0.818475
1600,paper2_deep_cfr_marl,CFR-MARL,0.258759,0.884692,0.816885
1700,paper2_deep_cfr_marl,CFR-MARL,0.262207,0.883449,0.814925
1800,paper2_deep_cfr_marl,CFR-MARL,0.261321,0.884482,0.814942
1900,paper2_deep_cfr_marl,CFR-MARL,0.269224,0.880422,0.810909
2000,paper2_deep_cfr_marl,CFR-MARL,0.264444,0.883235,0.812620
2100,paper2_deep_cfr_marl,CFR-MARL,0.270994,0.879536,0.809125
2200,paper2_deep_cfr_marl,CFR-MARL,0.270870,0.879566,0.808803
2300,paper2_deep_cfr_marl,CFR-MARL,0.272493,0.878631,0.807810
2400,paper2_deep_cfr_marl,CFR-MARL,0.274418,0.877239,0.806562
2500,paper2_deep_cfr_marl,CFR-MARL,0.281111,0.873271,0.803319
2600,paper2_deep_cfr_marl,CFR-MARL,0.280356,0.873271,0.803430
2700,paper2_deep_cfr_marl,CFR-MARL,0.283031,0.871252,0.801993
2800,paper2_deep_cfr_marl,CFR-MARL,0.280813,0.872081,0.802979
2900,paper2_deep_cfr_marl,CFR-MARL,0.279560,0.872370,0.803611
3000,paper2_deep_cfr_marl,CFR-MARL,0.287988,0.867254,0.799899
3100,paper2_deep_cfr_marl,CFR-MARL,0.287976,0.866724,0.800007
3200,paper2_deep_cfr_marl,CFR-MARL,0.290394,0.864959,0.799164
3300,paper2_deep_cfr_marl,CFR-MARL,0.290009,0.864798,0.799682
3400,paper2_deep_cfr_marl,CFR-MARL,0.292971,0.862953,0.798861
3500,paper2_deep_cfr_marl,CFR-MARL,0.286361,0.866397,0.802394
3600,paper2_deep_cfr_marl,CFR-MARL,0.295454,0.861247,0.798915
3700,paper2_deep_cfr_marl,CFR-MARL,0.297085,0.860299,0.798881
3800,paper2_deep_cfr_marl,CFR-MARL,0.297095,0.860365,0.799675
3900,paper2_deep_cfr_marl,CFR-MARL,0.300953,0.858527,0.798898
4000,paper2_deep_cfr_marl,CFR-MARL,0.303268,0.857555,0.798811
4100,paper2_deep_cfr_marl,CFR-MARL,0.298707,0.860559,0.801948
4200,paper2_deep_cfr_marl,CFR-MARL,0.300824,0.860054,0.802177
4300,paper2_deep_cfr_marl,CFR-MARL,0.303977,0.859060,0.801965
4400,paper2_deep_cfr_marl,CFR-MARL,0.303322,0.860342,0.803566
4500,paper2_deep_cfr_marl,CFR-MARL,0.305995,0.859871,0.803678
4600,paper2_deep_cfr_marl,CFR-MARL,0.298744,0.865168,0.808453
4700,paper2_deep_cfr_marl,CFR-MARL,0.307613,0.861504,0.805835
4800,paper2_deep_cfr_marl,CFR-MARL,0.305936,0.863904,0.808117
4900,paper2_deep_cfr_marl,CFR-MARL,0.311704,0.862315,0.807070
5000,paper2_deep_cfr_marl,CFR-MARL,0.316035,0.861480,0.806577
5100,paper2_deep_cfr_marl,CFR-MARL,0.308149,0.867692,0.811786
5200,paper2_deep_cfr_marl,CFR-MARL,0.313397,0.866569,0.810932
5300,paper2_deep_cfr_marl,CFR-MARL,0.319094,0.865318,0.809915
5400,paper2_deep_cfr_marl,CFR-MARL,0.328257,0.862216,0.807328
5500,paper2_deep_cfr_marl,CFR-MARL,0.323595,0.866750,0.810934
5600,paper2_deep_cfr_marl,CFR-MARL,0.322626,0.869296,0.812867
5700,paper2_deep_cfr_marl,CFR-MARL,0.326003,0.869514,0.812852
5800,paper2_deep_cfr_marl,CFR-MARL,0.333343,0.867355,0.810854
5900,paper2_deep_cfr_marl,CFR-MARL,0.332710,0.869762,0.812560
6000,paper2_deep_cfr_marl,CFR-MARL,0.337940,0.868755,0.811445
6100,paper2_deep_cfr_marl,CFR-MARL,0.343918,0.867301,0.809944
6200,paper2_deep_cfr_marl,CFR-MARL,0.348111,0.866793,0.809202
6300,paper2_deep_cfr_marl,CFR-MARL,0.344909,0.870200,0.811653
6400,paper2_deep_cfr_marl,CFR-MARL,0.354386,0.866590,0.808360
6500,paper2_deep_cfr_marl,CFR-MARL,0.355071,0.867693,0.808925
6600,paper2_deep_cfr_marl,CFR-MARL,0.354119,0.869581,0.810137
6700,paper2_deep_cfr_marl,CFR-MARL,0.363146,0.865811,0.806731
6800,paper2_deep_cfr_marl,CFR-MARL,0.369470,0.863433,0.804479
6900,paper2_deep_cfr_marl,CFR-MARL,0.364176,0.867225,0.807293
7000,paper2_deep_cfr_marl,CFR-MARL,0.375103,0.861989,0.802740
7100,paper2_deep_cfr_marl,CFR-MARL,0.382859,0.858339,0.799508
7200,paper2_deep_cfr_marl,CFR-MARL,0.377719,0.861655,0.802000
7300,paper2_deep_cfr_marl,CFR-MARL,0.379597,0.860939,0.801218
7400,paper2_deep_cfr_marl,CFR-MARL,0.393474,0.853466,0.794931
7500,paper2_deep_cfr_marl,CFR-MARL,0.397461,0.851300,0.793012
7600,paper2_deep_cfr_marl,CFR-MARL,0.394104,0.853034,0.794306
7700,paper2_deep_cfr_marl,CFR-MARL,0.404749,0.846960,0.789233
7800,paper2_deep_cfr_marl,CFR-MARL,0.401098,0.848558,0.790455
7900,paper2_deep_cfr_marl,CFR-MARL,0.402557,0.847307,0.789361
8000,paper2_deep_cfr_marl,CFR-MARL,0.413380,0.840810,0.783988
8100,paper2_deep_cfr_marl,CFR-MARL,0.413378,0.840174,0.783418
8200,paper2_deep_cfr_marl,CFR-MARL,0.421275,0.835175,0.779282
8300,paper2_deep_cfr_marl,CFR-MARL,0.421190,0.834403,0.778604
8400,paper2_deep_cfr_marl,CFR-MARL,0.422809,0.832700,0.777160
8500,paper2_deep_cfr_marl,CFR-MARL,0.431090,0.827390,0.772754
8600,paper2_deep_cfr_marl,CFR-MARL,0.429648,0.827363,0.772657
8700,paper2_deep_cfr_marl,CFR-MARL,0.434412,0.823945,0.769766
8800,paper2_deep_cfr_marl,CFR-MARL,0.433091,0.823913,0.769624
8900,paper2_deep_cfr_marl,CFR-MARL,0.438629,0.820123,0.766379
9000,paper2_deep_cfr_marl,CFR-MARL,0.443380,0.816904,0.763572
9100,paper2_deep_cfr_marl,CFR-MARL,0.446534,0.814536,0.761427
9200,paper2_deep_cfr_marl,CFR-MARL,0.452449,0.810822,0.758145
9300,paper2_deep_cfr_marl,CFR-MARL,0.455676,0.808657,0.756093
9400,paper2_deep_cfr_marl,CFR-MARL,0.453465,0.809600,0.756545
9500,paper2_deep_cfr_marl,CFR-MARL,0.451946,0.810314,0.756770
9600,paper2_deep_cfr_marl,CFR-MARL,0.457999,0.806939,0.753611
9700,paper2_deep_cfr_marl,CFR-MARL,0.461050,0.805336,0.751863
9800,paper2_deep_cfr_marl,CFR-MARL,0.462321,0.804892,0.751028
9900,paper2_deep_cfr_marl,CFR-MARL,0.468231,0.802142,0.748272
10000,paper2_deep_cfr_marl,CFR-MARL,0.461424,0.806350,0.751179
10100,paper2_deep_cfr_marl,CFR-MARL,0.470799,0.801861,0.746943
10200,paper2_deep_cfr_marl,CFR-MARL,0.473182,0.801385,0.745971
10300,paper2_deep_cfr_marl,CFR-MARL,0.469361,0.804424,0.747859
10400,paper2_deep_cfr_marl,CFR-MARL,0.470028,0.805177,0.747866
10500,paper2_deep_cfr_marl,CFR-MARL,0.465797,0.808719,0.750152
10600,paper2_deep_cfr_marl,CFR-MARL,0.474530,0.805230,0.746690
10700,paper2_deep_cfr_marl,CFR-MARL,0.478258,0.804609,0.745586
10800,paper2_deep_cfr_marl,CFR-MARL,0.476362,0.807178,0.747111
10900,paper2_deep_cfr_marl,CFR-MARL,0.479816,0.806823,0.746271
11000,paper2_deep_cfr_marl,CFR-MARL,0.474386,0.811440,0.749534
11100,paper2_deep_cfr_marl,CFR-MARL,0.473605,0.813669,0.750886
11200,paper2_deep_cfr_marl,CFR-MARL,0.470881,0.816829,0.753050
11300,paper2_deep_cfr_marl,CFR-MARL,0.471029,0.818511,0.754063
11400,paper2_deep_cfr_marl,CFR-MARL,0.473276,0.818964,0.754134
11500,paper2_deep_cfr_marl,CFR-MARL,0.478668,0.817705,0.752877
11600,paper2_deep_cfr_marl,CFR-MARL,0.476986,0.820377,0.754912
11700,paper2_deep_cfr_marl,CFR-MARL,0.470576,0.825596,0.759114
11800,paper2_deep_cfr_marl,CFR-MARL,0.475108,0.824601,0.758317
11900,paper2_deep_cfr_marl,CFR-MARL,0.472134,0.827710,0.760968
12000,paper2_deep_cfr_marl,CFR-MARL,0.471341,0.829551,0.762674
12100,paper2_deep_cfr_marl,CFR-MARL,0.475603,0.828501,0.762106
12200,paper2_deep_cfr_marl,CFR-MARL,0.474939,0.830030,0.763743
12300,paper2_deep_cfr_marl,CFR-MARL,0.472168,0.832600,0.766323
12400,paper2_deep_cfr_marl,CFR-MARL,0.472681,0.833240,0.767414
12500,paper2_deep_cfr_marl,CFR-MARL,0.470012,0.835481,0.769902
12600,paper2_deep_cfr_marl,CFR-MARL,0.476796,0.832393,0.768112
12700,paper2_deep_cfr_marl,CFR-MARL,0.466859,0.838327,0.773780
12800,paper2_deep_cfr_marl,CFR-MARL,0.466848,0.838614,0.774897
12900,paper2_deep_cfr_marl,CFR-MARL,0.475368,0.834128,0.772172
13000,paper2_deep_cfr_marl,CFR-MARL,0.468762,0.837775,0.776153
13100,paper2_deep_cfr_marl,CFR-MARL,0.470812,0.836511,0.776159
13200,paper2_deep_cfr_marl,CFR-MARL,0.471902,0.835660,0.776537
13300,paper2_deep_cfr_marl,CFR-MARL,0.470591,0.835985,0.777897
13400,paper2_deep_cfr_marl,CFR-MARL,0.469420,0.836182,0.779162
13500,paper2_deep_cfr_marl,CFR-MARL,0.468011,0.836276,0.780340
13600,paper2_deep_cfr_marl,CFR-MARL,0.468160,0.835470,0.780766
13700,paper2_deep_cfr_marl,CFR-MARL,0.468498,0.834475,0.781009
13800,paper2_deep_cfr_marl,CFR-MARL,0.468739,0.833468,0.781201
13900,paper2_deep_cfr_marl,CFR-MARL,0.476961,0.827995,0.777683
14000,paper2_deep_cfr_marl,CFR-MARL,0.474886,0.828190,0.778737
14100,paper2_deep_cfr_marl,CFR-MARL,0.473456,0.827946,0.779352
14200,paper2_deep_cfr_marl,CFR-MARL,0.479200,0.823865,0.776738
14300,paper2_deep_cfr_marl,CFR-MARL,0.473349,0.825960,0.779075
14400,paper2_deep_cfr_marl,CFR-MARL,0.474860,0.824159,0.778113
14500,paper2_deep_cfr_marl,CFR-MARL,0.474324,0.823524,0.777985
14600,paper2_deep_cfr_marl,CFR-MARL,0.474946,0.822323,0.777266
14700,paper2_deep_cfr_marl,CFR-MARL,0.478939,0.819274,0.774900
14800,paper2_deep_cfr_marl,CFR-MARL,0.483369,0.816169,0.772348
14900,paper2_deep_cfr_marl,CFR-MARL,0.480619,0.817017,0.772888
15000,paper2_deep_cfr_marl,CFR-MARL,0.483732,0.814748,0.770732
15100,paper2_deep_cfr_marl,CFR-MARL,0.485814,0.813220,0.769034
15200,paper2_deep_cfr_marl,CFR-MARL,0.487127,0.812200,0.767608
15300,paper2_deep_cfr_marl,CFR-MARL,0.486442,0.812431,0.767063
15400,paper2_deep_cfr_marl,CFR-MARL,0.492162,0.809276,0.763609
15500,paper2_deep_cfr_marl,CFR-MARL,0.491389,0.809828,0.763055
15600,paper2_deep_cfr_marl,CFR-MARL,0.490368,0.810697,0.762635
15700,paper2_deep_cfr_marl,CFR-MARL,0.495011,0.808603,0.759676
15800,paper2_deep_cfr_marl,CFR-MARL,0.497266,0.807890,0.757740
15900,paper2_deep_cfr_marl,CFR-MARL,0.498139,0.808102,0.756467
16000,paper2_deep_cfr_marl,CFR-MARL,0.509198,0.802910,0.750692
16100,paper2_deep_cfr_marl,CFR-MARL,0.510281,0.803255,0.749380
16200,paper2_deep_cfr_marl,CFR-MARL,0.503977,0.807855,0.751499
16300,paper2_deep_cfr_marl,CFR-MARL,0.514108,0.803431,0.746199
16400,paper2_deep_cfr_marl,CFR-MARL,0.514650,0.804422,0.745310
16500,paper2_deep_cfr_marl,CFR-MARL,0.514818,0.805726,0.744676
16600,paper2_deep_cfr_marl,CFR-MARL,0.513808,0.807792,0.744682
16700,paper2_deep_cfr_marl,CFR-MARL,0.517851,0.807042,0.742416
16800,paper2_deep_cfr_marl,CFR-MARL,0.522048,0.806256,0.740172
16900,paper2_deep_cfr_marl,CFR-MARL,0.526098,0.805587,0.738092
17000,paper2_deep_cfr_marl,CFR-MARL,0.524195,0.808290,0.738856
17100,paper2_deep_cfr_marl,CFR-MARL,0.535434,0.803675,0.733733
17200,paper2_deep_cfr_marl,CFR-MARL,0.530532,0.807874,0.735939
17300,paper2_deep_cfr_marl,CFR-MARL,0.536713,0.806004,0.733309
17400,paper2_deep_cfr_marl,CFR-MARL,0.537983,0.806745,0.732959
17500,paper2_deep_cfr_marl,CFR-MARL,0.537898,0.808187,0.733337
17600,paper2_deep_cfr_marl,CFR-MARL,0.542546,0.806941,0.731682
17700,paper2_deep_cfr_marl,CFR-MARL,0.553390,0.802156,0.727304
17800,paper2_deep_cfr_marl,CFR-MARL,0.552302,0.803844,0.728403
17900,paper2_deep_cfr_marl,CFR-MARL,0.544970,0.808882,0.732429
18000,paper2_deep_cfr_marl,CFR-MARL,0.551210,0.806245,0.730364
18100,paper2_deep_cfr_marl,CFR-MARL,0.549207,0.808107,0.732169
18200,paper2_deep_cfr_marl,CFR-MARL,0.560692,0.802315,0.727899
18300,paper2_deep_cfr_marl,CFR-MARL,0.558764,0.803762,0.729738
18400,paper2_deep_cfr_marl,CFR-MARL,0.559295,0.803715,0.730535
18500,paper2_deep_cfr_marl,CFR-MARL,0.561616,0.802680,0.730697
18600,paper2_deep_cfr_marl,CFR-MARL,0.561991,0.802335,0.731588
18700,paper2_deep_cfr_marl,CFR-MARL,0.568212,0.798774,0.730001
18800,paper2_deep_cfr_marl,CFR-MARL,0.565859,0.799707,0.732231
18900,paper2_deep_cfr_marl,CFR-MARL,0.566551,0.798884,0.733152
19000,paper2_deep_cfr_marl,CFR-MARL,0.567399,0.797819,0.733987
19100,paper2_deep_cfr_marl,CFR-MARL,0.567615,0.797007,0.735122
19200,paper2_deep_cfr_marl,CFR-MARL,0.572438,0.793606,0.734215
19300,paper2_deep_cfr_marl,CFR-MARL,0.563723,0.797547,0.739372
19400,paper2_deep_cfr_marl,CFR-MARL,0.565903,0.795277,0.739485
19500,paper2_deep_cfr_marl,CFR-MARL,0.567007,0.793620,0.740115
19600,paper2_deep_cfr_marl,CFR-MARL,0.568597,0.791663,0.740496
19700,paper2_deep_cfr_marl,CFR-MARL,0.566682,0.791729,0.742508
19800,paper2_deep_cfr_marl,CFR-MARL,0.569518,0.788949,0.742145
19900,paper2_deep_cfr_marl,CFR-MARL,0.571061,0.786951,0.742355
20000,paper2_deep_cfr_marl,CFR-MARL,0.564864,0.789245,0.745991
20100,paper2_deep_cfr_marl,CFR-MARL,0.570828,0.784871,0.744066
20200,paper2_deep_cfr_marl,CFR-MARL,0.570019,0.784286,0.745117
20300,paper2_deep_cfr_marl,CFR-MARL,0.565207,0.785960,0.747877
20400,paper2_deep_cfr_marl,CFR-MARL,0.568508,0.783249,0.746893
20500,paper2_deep_cfr_marl,CFR-MARL,0.565255,0.784221,0.748752
20600,paper2_deep_cfr_marl,CFR-MARL,0.565746,0.783230,0.748823
20700,paper2_deep_cfr_marl,CFR-MARL,0.556009,0.788048,0.753453
20800,paper2_deep_cfr_marl,CFR-MARL,0.558236,0.786322,0.752529
20900,paper2_deep_cfr_marl,CFR-MARL,0.562916,0.783441,0.750451
21000,paper2_deep_cfr_marl,CFR-MARL,0.565020,0.782052,0.749382
21100,paper2_deep_cfr_marl,CFR-MARL,0.561767,0.783787,0.750656
21200,paper2_deep_cfr_marl,CFR-MARL,0.554742,0.787753,0.753540
21300,paper2_deep_cfr_marl,CFR-MARL,0.558867,0.785687,0.751279
21400,paper2_deep_cfr_marl,CFR-MARL,0.562791,0.783965,0.749092
21500,paper2_deep_cfr_marl,CFR-MARL,0.559154,0.786448,0.750147
21600,paper2_deep_cfr_marl,CFR-MARL,0.549832,0.792377,0.753830
21700,paper2_deep_cfr_marl,CFR-MARL,0.554325,0.790560,0.750996
21800,paper2_deep_cfr_marl,CFR-MARL,0.556023,0.790611,0.749524
21900,paper2_deep_cfr_marl,CFR-MARL,0.553126,0.793180,0.749961
22000,paper2_deep_cfr_marl,CFR-MARL,0.550983,0.795512,0.750069
22100,paper2_deep_cfr_marl,CFR-MARL,0.543539,0.800893,0.752554
22200,paper2_deep_cfr_marl,CFR-MARL,0.546799,0.800375,0.750115
22300,paper2_deep_cfr_marl,CFR-MARL,0.551297,0.799311,0.747151
22400,paper2_deep_cfr_marl,CFR-MARL,0.546955,0.803094,0.748097
22500,paper2_deep_cfr_marl,CFR-MARL,0.549205,0.803308,0.746087
